,user_id,item_id,rating
0,User10742,Cosmopolitan,2
1,User3309,Manhattan,2
2,User18108,Mockingbird,1
3,User16013,French Connection,5
4,User13816,Tequila Sunrise,4
5,User3945,Cosmopolitan,3
6,User1563,Chi-Chi,1
7,User4951,Negroni,4
8,User4696,Black Russian,4
9,User17977,Silk Stockings,5
10,User7714,Brave Bull,4
11,User17912,Salty Dog,4
12,User4906,Blue Hawaii,2
13,User6241,Black Russian,3
14,User17549,Stinger,5
15,User10406,Sex on the Beach,5
16,User17413,Miami Beach,5
17,User6721,Tequila Sunset,1
18,User9777,Sidecar,5
19,User7272,Martini,4
20,User3709,Vodka & Tonic,3
21,User7652,Martini Sweet,2
22,User18733,Bloody Mary,5
23,User16387,Mojito,3
24,User13824,Godfather,3
25,User12570,New York,4
26,User16456,Black Russian,5
27,User2663,Harvard Cooler,2
28,User9520,Salty Dog,4
29,User13311,Singapore Sling,3
30,User7988,Martini Sweet,5
31,User6709,Blue Hawaii,5
32,User3673,Harvard Cooler,4
33,User14792,EL Diablo,5
34,User17011,Singapore Sling,5
35,User3249,Vodka & Tonic,1
36,User15444,Havana Beach,3
37,User17489,Gin & Tonic,4
38,User6330,Sidecar,5
39,User18361,Gin Fizz,5
40,User13542,Martini Sweet,2
41,User18103,Negroni,2
42,User16027,Martini Sweet,5
43,User18812,Negroni,1
44,User83,Negroni,2
45,User13548,Imperial Fizz,1
46,User461,Salty Dog,3
47,User19722,Harvard Cooler,3
48,User17339,Brooklyn,4
49,User13327,Sex on the Beach,4
50,User8655,Miami Beach,5
51,User2964,Margarita,4
52,User12761,Vodka Gimlet,4
53,User19227,Screwdriver,3
54,User1780,Sex on the Beach,4
55,User735,Singapore Sling,2
56,User8213,Brooklyn,5
57,User18292,Sidecar,3
58,User1065,Tequila Sunrise,4
59,User14499,Blue Hawaii,2
60,User13944,Brave Bull,3
61,User1057,Long Island Ice Tea,5
62,User16571,Sidecar,2
63,User2304,Margarita,3
64,User10089,Brooklyn,4
65,User16024,Salty Dog,2
66,User19432,Silk Stockings,2
67,User9651,Mojito,2
68,User19940,Margarita,1
69,User5597,Sex on the Beach,1
70,User13489,Gin & Tonic,2
71,User13253,Imperial Fizz,4
72,User15377,Sex on the Beach,4
73,User11134,Havana Beach,1
74,User1901,Bloody Mary,5
75,User11602,Bloody Mary,4
76,User14260,Dirty Mother,5
77,User19025,Sidecar,2
78,User3905,Brave Bull,5
79,User12450,Tequila Martini,3
80,User14203,Negroni,5
81,User18371,Blue Hawaii,3
82,User4556,Singapore Sling,2
83,User16252,Cuba Libre,1
84,User2319,Stinger,3
85,User74,Long Island Ice Tea,3
86,User13063,Vodka & Tonic,2
87,User7551,Gin & Tonic,1
88,User4923,Cuba Libre,4
89,User17658,Brave Bull,2
90,User11999,Screwdriver,3
91,User13183,Gin & Tonic,3
92,User13879,Moscow Mule,2
93,User1633,Moscow Mule,5
94,User11761,Cuba Libre,2
95,User19929,Havana Beach,2
96,User8011,Gin & Tonic,5
97,User8171,Mockingbird,2
98,User18982,Vodka Gimlet,4
99,User5647,Salty Dog,5
100,User16901,Mockingbird,1
