cocktail_name,Black Russian,Bloody Mary,Blue Hawaii,Brave Bull,Brooklyn,Cherry Blossom,Chi-Chi,Cosmopolitan,Cuba Libre,Dirty Mother,EL Diablo,Earthquake,French Connection,Gin & Tonic,Gin Fizz,Godfather,Harvard Cooler,Havana Beach,Horse’s Neck,Imperial Fizz,John Collins,Long Island Ice Tea,Mai-Tai,Manhattan,Margarita,Martini,Martini Sweet,Miami Beach,Mockingbird,Mojito,Moscow Mule,Negroni,New York,Old Fashioned,Salty Dog,Screwdriver,Sex on the Beach,Sidecar,Silk Stockings,Singapore Sling,Stinger,Tequila Martini,Tequila Sunrise,Tequila Sunset,Tom Collins,Vodka & Tonic,Vodka Gimlet,Zombie
Black Russian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Mary,8.326672684688678e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Hawaii,-2.775557561562894e-17,1.873501354054953e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Bull,3.2612801348363983e-16,-1.2490009027033014e-16,-6.591949208711871e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,-2.42861286636753e-17,1.4398204850607496e-16,6.93889390390723e-17,4.996003610813202e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Blossom,-2.3592239273284596e-16,-1.3183898417423741e-16,2.4980018054066047e-16,2.0469737016526334e-16,9.71445146547012e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Chi,-4.163336342344338e-17,-7.979727989493314e-17,1.8041124150158804e-16,2.0816681711721685e-16,-1.899522206194603e-16,2.3592239273284586e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopolitan,-2.914335439641037e-16,-1.665334536937735e-16,3.191891195797327e-16,1.3877787807814457e-17,4.163336342344335e-17,-1.2836953722228377e-16,3.7470027081099033e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba Libre,-1.3877787807814466e-17,-1.8041124150158799e-16,4.44089209850063e-16,-1.1102230246251568e-16,-4.1633363423443364e-17,6.938893903907233e-17,5.551115123125784e-17,-6.505213034913028e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Mother,1.5612511283791266e-16,-8.326672684688674e-17,1.8041124150158799e-16,2.7408630920433547e-16,3.8510861166685093e-16,-4.718447854656916e-16,-2.9143354396410354e-16,8.673617379884033e-17,-4.0939474033052647e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
