user_id,0,1,2
1,John Collins,Moscow Mule,Mojito
2,Horse’s Neck,Moscow Mule,Tequila Sunset
3,Vodka & Tonic,Salty Dog,Horse’s Neck
4,Tequila Sunset,Screwdriver,Moscow Mule
5,Moscow Mule,Silk Stockings,Margarita
6,Tequila Sunrise,Harvard Cooler,Vodka Gimlet
7,Brooklyn,Old Fashioned,Gin & Tonic
8,Mojito,Moscow Mule,Tom Collins
9,John Collins,Harvard Cooler,Horse’s Neck
10,Havana Beach,Screwdriver,Tequila Sunrise
11,Moscow Mule,Screwdriver,Bloody Mary
12,Moscow Mule,John Collins,Bloody Mary
13,Cosmopolitan,Mockingbird,Screwdriver
14,Margarita,Cosmopolitan,Sex on the Beach
15,Margarita,Vodka & Tonic,Horse’s Neck
16,Harvard Cooler,Silk Stockings,Old Fashioned
17,Cuba Libre,John Collins,Screwdriver
18,Moscow Mule,Margarita,Tequila Sunset
19,Moscow Mule,John Collins,Horse’s Neck
20,Tequila Sunrise,John Collins,Martini
21,Tequila Sunset,Tequila Sunrise,Screwdriver
22,Tequila Sunset,Moscow Mule,Harvard Cooler
23,Blue Hawaii,Zombie,Sex on the Beach
24,Mockingbird,Gin Fizz,Cuba Libre
25,Horse’s Neck,Cuba Libre,Salty Dog
26,Cuba Libre,Moscow Mule,Stinger
27,Harvard Cooler,Horse’s Neck,Vodka & Tonic
28,John Collins,Martini,Horse’s Neck
29,John Collins,Martini,Horse’s Neck
30,Tequila Sunset,Tequila Sunrise,Moscow Mule
31,Cuba Libre,Harvard Cooler,Tom Collins
32,Old Fashioned,Brooklyn,Gin & Tonic
33,Brooklyn,Old Fashioned,Gin & Tonic
34,Tequila Sunrise,Silk Stockings,Cosmopolitan
35,Old Fashioned,Brooklyn,Gin & Tonic
36,Moscow Mule,John Collins,Horse’s Neck
37,Tequila Sunset,Moscow Mule,Margarita
38,Moscow Mule,Gin Fizz,Silk Stockings
39,Tequila Sunrise,Gin & Tonic,Tequila Sunset
40,Tequila Sunset,Screwdriver,Moscow Mule
41,John Collins,Harvard Cooler,Horse’s Neck
