user_id,0,1,2
1,Horse’s Neck,Moscow Mule,Vodka & Tonic
2,Old Fashioned,New York,Tom Collins
3,Martini,Bloody Mary,Brave Bull
4,Mojito,Tequila Sunset,Cherry Blossom
5,Tom Collins,Dirty Mother,Gin & Tonic
6,Gin Fizz,Tequila Martini,Cuba Libre
7,Dirty Mother,Miami Beach,Old Fashioned
8,Manhattan,Long Island Ice Tea,Zombie
9,John Collins,Martini Sweet,Brave Bull
10,Blue Hawaii,Brave Bull,Long Island Ice Tea
11,Tequila Sunrise,Screwdriver,Manhattan
12,Tequila Martini,Brave Bull,Sidecar
13,EL Diablo,Tom Collins,Blue Hawaii
14,Cuba Libre,Mockingbird,John Collins
15,Horse’s Neck,Earthquake,Cosmopolitan
16,Manhattan,Horse’s Neck,Harvard Cooler
17,Martini,Gin & Tonic,Margarita
18,Cuba Libre,Mai-Tai,Negroni
19,Brave Bull,Imperial Fizz,Miami Beach
20,Earthquake,Horse’s Neck,Stinger
21,Imperial Fizz,Cosmopolitan,EL Diablo
22,Gin & Tonic,Tequila Martini,Brooklyn
23,Old Fashioned,Screwdriver,Dirty Mother
24,Black Russian,Stinger,Screwdriver
25,Long Island Ice Tea,Brave Bull,EL Diablo
26,Imperial Fizz,Mojito,EL Diablo
27,Salty Dog,Tom Collins,French Connection
28,Screwdriver,Negroni,Old Fashioned
29,Stinger,Salty Dog,John Collins
30,Vodka & Tonic,Gin & Tonic,Tom Collins
31,French Connection,Tequila Sunset,Brooklyn
32,Screwdriver,Gin & Tonic,Harvard Cooler
33,Silk Stockings,Old Fashioned,Moscow Mule
34,French Connection,Tom Collins,Negroni
35,Zombie,Sidecar,Brooklyn
36,Gin & Tonic,Sidecar,Salty Dog
37,Dirty Mother,Tequila Sunset,Horse’s Neck
38,Gin & Tonic,Chi-Chi,Cherry Blossom
39,Manhattan,Gin & Tonic,Mockingbird
40,Silk Stockings,Brooklyn,Negroni
41,John Collins,Martini Sweet,Brave Bull
42,Margarita,Old Fashioned,Tequila Sunset
43,Miami Beach,Dirty Mother,Long Island Ice Tea
44,Tequila Martini,Mojito,Havana Beach
45,Tequila Sunrise,EL Diablo,Silk Stockings
46,Tequila Martini,Havana Beach,Cosmopolitan
47,Vodka & Tonic,Singapore Sling,Cuba Libre
48,Tom Collins,Moscow Mule,Sidecar
49,Moscow Mule,Gin & Tonic,Long Island Ice Tea
50,Brave Bull,Bloody Mary,EL Diablo
51,Dirty Mother,Miami Beach,Sidecar
52,Margarita,Long Island Ice Tea,Havana Beach
53,Martini,French Connection,Old Fashioned
54,Negroni,Gin Fizz,Screwdriver
55,Zombie,Black Russian,Vodka Gimlet
56,Imperial Fizz,New York,EL Diablo
57,Negroni,Screwdriver,Black Russian
